Settimana,Premio,Traguardo,(Offerto da)
1,n.1 Seasonal ticket Trentino Rosa,first place in weekly green leaves leaderboard,-
1,n.2 entrance tickets for Buonconsiglio,first draw in the Top 50 of green leaves weekly leaderboard,-
2,n.1 seasonal ticket Trentino Volley ,first place in weekly green leaves leaderboard,-
2,n.2 MART entrance tickets,first draw in the Top 50 of green leaves weekly leaderboard,-
2,n.2 tickets for S. Chiara event,second draw in the Top 50 of green leaves weekly leaderboard,-
3,n.1 seasonal ticket Trentino Rosa,first place in weekly green leaves leaderboard,-
3,n.2 entrance tickets Campana dei Caduti,first draw in the Top 50 of green leaves weekly leaderboard,-
3,n.2 tickets for S. Chiara event,second draw in the Top 50 of green leaves weekly leaderboard,-
4,n.1 seasonal ticket Trentino Volley,first place in weekly green leaves leaderboard,-
4,n.2 tickets for S. Chiara event,first draw in the Top 50 of green leaves weekly leaderboard,-
4,n.2 entrance tickets Campana dei Caduti,second draw in the Top 50 of green leaves weekly leaderboard,-
4,n.2 tickets for Fiera Fa’ la cosa giusta,third draw in the Top 50 of green leaves weekly leaderboard,-
5,n.1 GRAVITY membership card MUSE,first place in weekly green leaves leaderboard,-
5,n.2 entrance tickets wellness center,first draw in the Top 50 of green leaves weekly leaderboard,-
5,n.2 tickets for Fiera Fa’ la cosa giusta,second draw in the Top 50 of green leaves weekly leaderboard,-
6,n.1 yearly pass for Bike Sharing,first place in weekly green leaves leaderboard,-
6,n.2 entrance tickets for Buonconsiglio,first draw in the Top 50 of green leaves weekly leaderboard,-
6,n.2 tickets for Trentino Rosa,second draw in the Top 50 of green leaves weekly leaderboard,-
6,n.2 tickets for S. Chiara event,third draw in the Top 50 of green leaves weekly leaderboard,-
7,n.1 ticket for Matinee in Casa Mozart,first place in weekly green leaves leaderboard,-
7,n.2 tickets for S. Chiara event,first draw in the Top 50 of green leaves weekly leaderboard,-
7,n.1 ACI gadget,second draw in the Top 50 of green leaves weekly leaderboard,-
8,n.1 Aquila Basket ball,first place in weekly green leaves leaderboard,-
8,n.2 tickets for S. Chiara event,first draw in the Top 50 of green leaves weekly leaderboard,-
8,n.2 entrance tickets for Campana dei Caduti,second draw in the Top 50 of green leaves weekly leaderboard,-
9,n.4 tickets for S. Chiara Christmas event,first place in weekly green leaves leaderboard,-
9,n.2 tickets for Aquila Basket,first draw in the Top 50 of green leaves weekly leaderboard,-
9,n.2 entrance tickets for Museo Storico della Guerra,second draw in the Top 50 of green leaves weekly leaderboard,-
9,n.2 MART entrance tickets,third draw in the Top 50 of green leaves weekly leaderboard,-
10,n.1 night ski pass,first place in weekly green leaves leaderboard,-
10,n.2 MART entrance tickets,first draw in the Top 50 of green leaves weekly leaderboard,-
10,n.2 tickets for S. Chiara event,second draw in the Top 50 of green leaves weekly leaderboard,-
11,n.1 ICE pass for MUSE,first place in weekly green leaves leaderboard,-
11,n.2 tickets for Trentino Rosa,first draw in the Top 50 of green leaves weekly leaderboard,-
11,n.2 tickets for S. Chiara event,second draw in the Top 50 of green leaves weekly leaderboard,-
11,n.2 entrance tickets for Museo Storico della Guerra,third draw in the Top 50 of green leaves weekly leaderboard,-
12,n.1 daily ski pass,first place in weekly green leaves leaderboard,-
12,n.2 tickets for Aquila Basket,first draw in the Top 50 of green leaves weekly leaderboard,-
12,n.2 tickets for Museo Civico in Rovereto,second draw in the Top 50 of green leaves weekly leaderboard,-
13,n.2 tickets for S. Chiara event,first place in weekly green leaves leaderboard,-
13,n.2 tickets for Trentino Rosa,first draw in the Top 50 of green leaves weekly leaderboard,-
13,n.2 entrance tickets for Museo Storico della Guerra,second draw in the Top 50 of green leaves weekly leaderboard,-
13,n.1 ACI gadget,third draw in the Top 50 of green leaves weekly leaderboard,-
14,n.1 night ski pass,first place in weekly green leaves leaderboard,-
14,n.2 tickets for Museo Civico in Rovereto,first draw in the Top 50 of green leaves weekly leaderboard,-
14,n.2 tickets for S. Chiara event,second draw in the Top 50 of green leaves weekly leaderboard,-
19,n.1 yearly Car Sharing pass,first place in weekly green leaves leaderboard,-
19,n.2 MUSE entrance tickets,first draw in the Top 50 of green leaves weekly leaderboard,-
19,n.2 MART entrance tickets,second draw in the Top 50 of green leaves weekly leaderboard,-
19,n.2 tickets for S. Chiara event,third draw in the Top 50 of green leaves weekly leaderboard,-
20,n.1 yearly Bike Sharing pass,first place in weekly green leaves leaderboard,-
20,n.2 tickets for Aquila Basket,first draw in the Top 50 of green leaves weekly leaderboard,-
20,n.1 ACI gadget,second draw in the Top 50 of green leaves weekly leaderboard,-
21,n.1 ticket for Matinee in Casa Mozart,first place in weekly green leaves leaderboard,-
21,n.2 tickets for Aquila Basket,first draw in the Top 50 of green leaves weekly leaderboard,-
21,n.2 MUSE entrance tickets,second draw in the Top 50 of green leaves weekly leaderboard,-
21,n.1 ACI gadget,third draw in the Top 50 of green leaves weekly leaderboard,-
22,n.1 DOLOMIA pass for MUSE,first place in weekly green leaves leaderboard,-
22,n.2 entrance tickets for Museo Civico di Rovereto,first draw in the Top 50 of green leaves weekly leaderboard,-
22,n.1 ACI gadget,second draw in the Top 50 of green leaves weekly leaderboard,-
23,n.2 entrance tickets for Buonconsiglio,first place in weekly green leaves leaderboard,-
23,n.2 entrance tickets for Museo Storico della Guerra,first draw in the Top 50 of green leaves weekly leaderboard,-
23,n.2 MUSE entrance tickets,second draw in the Top 50 of green leaves weekly leaderboard,-
23,n.1 ACI membership card,third draw in the Top 50 of green leaves weekly leaderboard,-
24,n.1 MINI TRIBU’ pass for MUSE,first place in weekly green leaves leaderboard,-
24,n.2 entrance tickets for Buonconsiglio,first draw in the Top 50 of green leaves weekly leaderboard,-
24,n.2 entrance tickets for Campana dei Caduti,second draw in the Top 50 of green leaves weekly leaderboard,-
25,n.1 Aquila Basket shirt and n.1 Aquila Basket ball,first place in weekly green leaves leaderboard,-
25,n.2 tickets for Trentino Rosa,first draw in the Top 50 of green leaves weekly leaderboard,-
25,n.2 entrance tickets for Museo Civico di Rovereto,second draw in the Top 50 of green leaves weekly leaderboard,-
25,n.1 ACI gadget,third draw in the Top 50 of green leaves weekly leaderboard,-

