Settimana,Premio,Traguardo,(Offerto da)
1,n.1 abbonamento Trentino Rosa,primo posto classifica settimanale green leaves,-
1,n.2 biglietti ingresso Buonconsiglio,primo estratto nella Top 50 settimanale della classifica green leaves,-
2,n.1 abbonamento Trentino Volley ,primo posto classifica settimanale green leaves,-
2,n.2 biglietti ingresso museo MART,primo estratto nella Top 50 settimanale della classifica green leaves,-
2,n.2 biglietti spettacolo S. Chiara,secondo estratto nella Top 50 settimanale della classifica green leaves,-
3,n.1 abbonamento Trentino Rosa,primo posto classifica settimanale green leaves,-
3,n.2 biglietti ingresso Campana dei Caduti,primo estratto nella Top 50 settimanale della classifica green leaves,-
3,n.2 biglietti spettacolo S. Chiara,secondo estratto nella Top 50 settimanale della classifica green leaves,-
4,n.1 abbonamento Trentino Volley,primo posto classifica settimanale green leaves,-
4,n.2 biglietti spettacolo S. Chiara,primo estratto nella Top 50 settimanale della classifica green leaves,-
4,n.2 biglietti ingresso Campana dei Caduti,secondo estratto nella Top 50 settimanale della classifica green leaves,-
4,n.2 biglietti fiera Fa‰Ûª la cosa giusta,terzo estratto nella Top 50 settimanale della classifica green leaves,-
5,n.1 tessera Gravity MUSE,primo posto classifica settimanale green leaves,-
5,n.2 ingressi area wellness,primo estratto nella Top 50 settimanale della classifica green leaves,-
5,n.2 biglietti fiera Fa‰Ûª la cosa giusta,secondo estratto nella Top 50 settimanale della classifica green leaves,-
6,n.1 abbonamento annuale Bike Sharing,primo posto classifica settimanale green leaves,-
6,n.2 biglietti ingresso Buonconsiglio,primo estratto nella Top 50 settimanale della classifica green leaves,-
6,n.2 biglietti Trentino Rosa,secondo estratto nella Top 50 settimanale della classifica green leaves,-
6,n.2 biglietti spettacolo S. Chiara,terzo estratto nella Top 50 settimanale della classifica green leaves,-
7,n.1 biglietto Matinee in Casa Mozart,primo posto classifica settimanale green leaves,-
7,n.2 biglietti spettacolo S. Chiara,primo estratto nella Top 50 settimanale della classifica green leaves,-
7,n.1 gadget ACI,secondo estratto nella Top 50 settimanale della classifica green leaves,-
8,n.1 pallone Aquila Basket,primo posto classifica settimanale green leaves,-
8,n.2 biglietti spettacolo S. Chiara,primo estratto nella Top 50 settimanale della classifica green leaves,-
8,n.2 biglietti ingresso Campana dei Caduti,secondo estratto nella Top 50 settimanale della classifica green leaves,-
9,n.4 biglietti spettacolo di Natale al S. Chiara,primo posto classifica settimanale green leaves,-
9,n.2 biglietti Aquila Basket,primo estratto nella Top 50 settimanale della classifica green leaves,-
9,n.2 biglietti ingresso Museo Storico della Guerra,secondo estratto nella Top 50 settimanale della classifica green leaves,-
